id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
46mXuHxCjDiLoLPsqn24P8,Shaam Shaandaar,0.656,0.774,6,-4.406,0,0.0861,0.0304,0.00105,0.0494,0.636,133.995,audio_features,46mXuHxCjDiLoLPsqn24P8,spotify:track:46mXuHxCjDiLoLPsqn24P8,https://api.spotify.com/v1/tracks/46mXuHxCjDiLoLPsqn24P8,https://api.spotify.com/v1/audio-analysis/46mXuHxCjDiLoLPsqn24P8,237464,4,mem_4
0OhlQIuDc4hhyrRA8KeRWs,"Gustakh Dil (From ""English Vinglish)",0.518,0.363,10,-10.029,1,0.0299,0.0624,0.0186,0.0992,0.0785,80.045,audio_features,0OhlQIuDc4hhyrRA8KeRWs,spotify:track:0OhlQIuDc4hhyrRA8KeRWs,https://api.spotify.com/v1/tracks/0OhlQIuDc4hhyrRA8KeRWs,https://api.spotify.com/v1/audio-analysis/0OhlQIuDc4hhyrRA8KeRWs,338747,4,mem_4
22vgEDb5hykfaTwLuskFGD,Sucker,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,audio_features,22vgEDb5hykfaTwLuskFGD,spotify:track:22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/tracks/22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/audio-analysis/22vgEDb5hykfaTwLuskFGD,181027,4,mem_4
2l8w0zZVn4AZNuzrht7MRT,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.262,0.606,8,-6.646,1,0.0484,0.247,0,0.125,0.275,189.857,audio_features,2l8w0zZVn4AZNuzrht7MRT,spotify:track:2l8w0zZVn4AZNuzrht7MRT,https://api.spotify.com/v1/tracks/2l8w0zZVn4AZNuzrht7MRT,https://api.spotify.com/v1/audio-analysis/2l8w0zZVn4AZNuzrht7MRT,252534,4,mem_4
4mOmWSdTmf6fSAibGWCKp7,Mental Manadhil,0.568,0.886,6,-7.983,0,0.081,0.0123,3.4e-05,0.361,0.846,160.054,audio_features,4mOmWSdTmf6fSAibGWCKp7,spotify:track:4mOmWSdTmf6fSAibGWCKp7,https://api.spotify.com/v1/tracks/4mOmWSdTmf6fSAibGWCKp7,https://api.spotify.com/v1/audio-analysis/4mOmWSdTmf6fSAibGWCKp7,205759,4,mem_4
19yNnq9qhYRMePmPTgUOL8,Kabhie Phool Dena (Pyar Ke Naam) - Rules - Pyar Ka Super Hit Formula / Soundtrack Version,0.674,0.558,10,-8.383,1,0.0413,0.0137,0,0.0758,0.709,137.89,audio_features,19yNnq9qhYRMePmPTgUOL8,spotify:track:19yNnq9qhYRMePmPTgUOL8,https://api.spotify.com/v1/tracks/19yNnq9qhYRMePmPTgUOL8,https://api.spotify.com/v1/audio-analysis/19yNnq9qhYRMePmPTgUOL8,245760,4,mem_4
1HBGWNyoRJhxvsfO8LLFDo,Chogada,0.359,0.972,7,-3.452,1,0.109,0.136,2.52e-06,0.14,0.595,62.914,audio_features,1HBGWNyoRJhxvsfO8LLFDo,spotify:track:1HBGWNyoRJhxvsfO8LLFDo,https://api.spotify.com/v1/tracks/1HBGWNyoRJhxvsfO8LLFDo,https://api.spotify.com/v1/audio-analysis/1HBGWNyoRJhxvsfO8LLFDo,249742,4,mem_4
5N0bIQTnSVrDCSlKydMt3E,Laaree Chootee,0.567,0.758,0,-6.564,1,0.0635,0.229,0,0.31,0.583,92.99,audio_features,5N0bIQTnSVrDCSlKydMt3E,spotify:track:5N0bIQTnSVrDCSlKydMt3E,https://api.spotify.com/v1/tracks/5N0bIQTnSVrDCSlKydMt3E,https://api.spotify.com/v1/audio-analysis/5N0bIQTnSVrDCSlKydMt3E,237308,4,mem_4
4zUPL2OPTO3hgNhjaA1Rjn,I Hate Luv Storys,0.747,0.81,11,-8.352,0,0.0541,0.0688,0.0405,0.0592,0.937,130.012,audio_features,4zUPL2OPTO3hgNhjaA1Rjn,spotify:track:4zUPL2OPTO3hgNhjaA1Rjn,https://api.spotify.com/v1/tracks/4zUPL2OPTO3hgNhjaA1Rjn,https://api.spotify.com/v1/audio-analysis/4zUPL2OPTO3hgNhjaA1Rjn,285213,4,mem_4
79jYT83v4bMOWEgwjQxSx2,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",0.495,0.654,3,-6.639,0,0.0679,0.713,0,0.165,0.35,123.896,audio_features,79jYT83v4bMOWEgwjQxSx2,spotify:track:79jYT83v4bMOWEgwjQxSx2,https://api.spotify.com/v1/tracks/79jYT83v4bMOWEgwjQxSx2,https://api.spotify.com/v1/audio-analysis/79jYT83v4bMOWEgwjQxSx2,269032,4,mem_4
