id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
4o4Om7QvjLHNzK4ePh1QkR,How My Heart Behaves,0.563,0.351,0,-11.271,1,0.0288,0.816,0.0122,0.114,0.139,115.055,audio_features,4o4Om7QvjLHNzK4ePh1QkR,spotify:track:4o4Om7QvjLHNzK4ePh1QkR,https://api.spotify.com/v1/tracks/4o4Om7QvjLHNzK4ePh1QkR,https://api.spotify.com/v1/audio-analysis/4o4Om7QvjLHNzK4ePh1QkR,266613,4,mem_3
0TK2YIli7K1leLovkQiNik,Señorita,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,audio_features,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960,4,mem_3
180WImKPbvdUrboKUov5f4,More Than That,0.595,0.442,4,-12.899,0,0.282,0.0709,0,0.139,0.297,48.702,audio_features,180WImKPbvdUrboKUov5f4,spotify:track:180WImKPbvdUrboKUov5f4,https://api.spotify.com/v1/tracks/180WImKPbvdUrboKUov5f4,https://api.spotify.com/v1/audio-analysis/180WImKPbvdUrboKUov5f4,158733,4,mem_3
2vdBo4ALPYbHRUPKgtE5iC,ghostin,0.287,0.364,9,-8.295,1,0.0306,0.418,1.8e-05,0.185,0.11,103.777,audio_features,2vdBo4ALPYbHRUPKgtE5iC,spotify:track:2vdBo4ALPYbHRUPKgtE5iC,https://api.spotify.com/v1/tracks/2vdBo4ALPYbHRUPKgtE5iC,https://api.spotify.com/v1/audio-analysis/2vdBo4ALPYbHRUPKgtE5iC,271467,4,mem_3
5Po5YmT4RhawSeqNXx5m0o,Maybe You're the Reason,0.621,0.762,5,-6.376,1,0.0328,0.106,2.71e-06,0.302,0.395,95.014,audio_features,5Po5YmT4RhawSeqNXx5m0o,spotify:track:5Po5YmT4RhawSeqNXx5m0o,https://api.spotify.com/v1/tracks/5Po5YmT4RhawSeqNXx5m0o,https://api.spotify.com/v1/audio-analysis/5Po5YmT4RhawSeqNXx5m0o,218936,4,mem_3
5sra5UY6sD658OabHL3QtI,Empire State of Mind (Part II) Broken Down,0.479,0.368,6,-7.784,1,0.0341,0.739,4.1e-05,0.118,0.142,92.959,audio_features,5sra5UY6sD658OabHL3QtI,spotify:track:5sra5UY6sD658OabHL3QtI,https://api.spotify.com/v1/tracks/5sra5UY6sD658OabHL3QtI,https://api.spotify.com/v1/audio-analysis/5sra5UY6sD658OabHL3QtI,216480,4,mem_3
0Lbe98RKWwBbu1sipPSa4n,Cool Blue,0.386,0.576,0,-10.463,1,0.0598,0.886,0.0783,0.151,0.512,180.022,audio_features,0Lbe98RKWwBbu1sipPSa4n,spotify:track:0Lbe98RKWwBbu1sipPSa4n,https://api.spotify.com/v1/tracks/0Lbe98RKWwBbu1sipPSa4n,https://api.spotify.com/v1/audio-analysis/0Lbe98RKWwBbu1sipPSa4n,231333,3,mem_3
0lgKENdO0Gs5D5yz5d1vnx,All Over Me,0.626,0.387,11,-10.014,0,0.0299,0.245,0.00636,0.107,0.155,139.766,audio_features,0lgKENdO0Gs5D5yz5d1vnx,spotify:track:0lgKENdO0Gs5D5yz5d1vnx,https://api.spotify.com/v1/tracks/0lgKENdO0Gs5D5yz5d1vnx,https://api.spotify.com/v1/audio-analysis/0lgKENdO0Gs5D5yz5d1vnx,221842,4,mem_3
0qtsTTSpYQEu53Mz55MK0b,Haunt You,0.658,0.458,0,-8.738,1,0.0785,0.371,0,0.0958,0.29,91.914,audio_features,0qtsTTSpYQEu53Mz55MK0b,spotify:track:0qtsTTSpYQEu53Mz55MK0b,https://api.spotify.com/v1/tracks/0qtsTTSpYQEu53Mz55MK0b,https://api.spotify.com/v1/audio-analysis/0qtsTTSpYQEu53Mz55MK0b,198253,4,mem_3
3vgiIJW3iSQRRvgYiW86i9,Brillo,0.535,0.384,9,-10.049,0,0.362,0.89,0,0.0964,0.767,145.947,audio_features,3vgiIJW3iSQRRvgYiW86i9,spotify:track:3vgiIJW3iSQRRvgYiW86i9,https://api.spotify.com/v1/tracks/3vgiIJW3iSQRRvgYiW86i9,https://api.spotify.com/v1/audio-analysis/3vgiIJW3iSQRRvgYiW86i9,159573,4,mem_3
