Sr_no,id,name_org,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
94,6fxVffaTuwjgEk5h9QyRjy,Photograph,Photograph,66,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,mem_1
95,7fiFJADUcHwTdYLmnZeLAy,Hesitate,Hesitate,68,0.622,0.485,2,-7.259,1,0.0322,0.227,0,0.0889,0.236,118.051,208840,4,mem_1
96,7r6xGsyES2DTacyP6O585i,Never Ending Story,Never Ending Story,77,0.438,0.489,0,-11.568,1,0.0465,0.0103,1.22E-05,0.442,0.182,136.077,125480,3,mem_1
97,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Passionfruit,80,0.804,0.459,11,-11.556,1,0.039,0.304,0.0862,0.11,0.372,111.963,298941,4,mem_1
98,0tgVpDi06FyKpA1z0VMD4v,Perfect,Perfect,87,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,mem_1
99,01qgLtk6olCOixHUi2lYXq,Medicine,Medicine,4,0.642,0.376,7,-10.669,0,0.0373,0.374,0,0.139,0.0817,110.004,251563,4,mem_1
100,4qBFhjcAsLFizQOccMOuzK,Gamble,Gamble,42,0.551,0.153,2,-11.571,1,0.0328,0.904,0,0.112,0.187,97.823,254667,4,mem_1
101,3PfvRBNy3J23eLxDp5iZd4,100 Bars & Gunnin,100 Bars & Gunnin,49,0.743,0.753,7,-7.584,1,0.28,0.00176,0,0.189,0.531,94.064,122553,4,mem_2
102,2f0VlO0xSJtgt2jkmOJzhT,9 Carrots,9 Carrots,43,0.658,0.645,9,-7.323,0,0.113,0.0274,0.0311,0.106,0.55,79.244,181272,4,mem_2
103,0V3zk01d9ihHcXv1S3h7yQ,Son Of Serpentine,Son Of Serpentine,44,0.878,0.821,1,-6.766,1,0.2,0.00166,0.000166,0.0612,0.818,164.995,104727,4,mem_2
104,6ZyEkJUOrNJhM2ysyK71hw,Daddy Aioli Interlude,Daddy Aioli Interlude,53,0.541,0.483,9,-9.712,0,0.217,0.737,0,0.306,0.263,107.855,85453,4,mem_2
105,1oUbYmF4SYYHorKY1wKo0K,Dream Dream Dream,Dream Dream Dream,59,0.372,0.555,4,-6.509,1,0.0332,0.13,1.26E-06,0.181,0.192,64.913,234933,4,mem_2
106,5h3uwxELUVyVpMuLXjdKKV,Spontaneous,Spontaneous,51,0.645,0.791,5,-8.051,0,0.0384,0.0693,0.935,0.23,0.039,114.477,128647,4,mem_2
107,45DVlz0NtoU21E2yEr9ZUI,Twist Of Fate/ Cobra,Twist Of Fate/ Cobra,42,0.52,0.934,3,-4.426,1,0.0621,0.000475,4.23E-05,0.0719,0.317,95.923,250032,4,mem_2
108,5OO7ybh0GQlXslHX4U4Vgr,CAROLMART FEAT. ICE BILLION BERG,Carolmart Feat. Ice Billion Berg,57,0.736,0.671,1,-7.764,1,0.0505,0.00535,0,0.108,0.505,155.131,164120,4,mem_2
109,4Mqfhqtb5WmondLWYsCCrz,The Boys Are Back In Town,The Boys Are Back In Town,69,0.853,0.701,8,-5.908,1,0.34,0.212,0,0.142,0.643,155.069,147907,4,mem_2
110,2S9r3he7RP6j6ptiQGVW6Y,Kids,Kids,59,0.635,0.694,1,-3.549,1,0.159,0.0596,0,0.141,0.398,85.809,270131,4,mem_2
111,0tjsoAZfZO2kTrGbfOBuMt,Fast Lane,Fast Lane,40,0.591,0.928,6,-3.166,0,0.118,0.000342,0.0541,0.372,0.827,82.03,181463,4,mem_2
112,6HUFOiTIGCizkemQxhQTao,Gravy For Pope,Gravy For Pope,62,0.666,0.673,6,-7.906,1,0.218,0.437,1.74E-06,0.137,0.377,148.098,175960,4,mem_2
113,5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,Earfquake,86,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98E-06,0.795,0.413,79.635,190067,4,mem_2
114,2FTOLKjQUswhpdMFq15Raf,SPEEDBOAT,Speedboat,70,0.925,0.628,6,-7.587,1,0.131,0.0604,0,0.358,0.81,120.021,222533,4,mem_2
115,3xaugmCyXrVkrDTXbFkMW3,Sanctuary,Sanctuary,83,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,180019,4,mem_2
116,6fTt0CH2t0mdeB2N9XFG5r,Panini,Panini,93,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,4,mem_2
117,0RQIpoZGnHOqA6pJXw22Sy,BULLETPROOF SHOWER CAP,Bulletproof Shower Cap,48,0.726,0.735,10,-7.507,1,0.189,0.185,3.29E-06,0.368,0.539,77.511,114581,4,mem_2
118,1faIb3PPSzEifCHUOJ691R,Broke As Fuck,Broke As Fuck,79,0.616,0.669,1,-5.791,1,0.32,0.0298,0,0.127,0.275,154.056,196112,4,mem_2
119,4Tk9QvtwwOj2Ah9E8ahutZ,Lost In Translation,Lost In Translation,63,0.569,0.791,2,-4.128,1,0.364,0.553,6.55E-06,0.102,0.367,156.947,289720,4,mem_2
120,5eagDEkYAcN7rhzOImor7k,I Can't Pretend,I Can't Pretend,32,0.353,0.694,1,-6.069,0,0.0272,0.000792,0.00634,0.218,0.343,180.03,289454,4,mem_2
121,72hSRAHg4hXE5ApwSQQZPn,Breathe,Breathe,73,0.538,0.52,7,-10.143,1,0.08,0.588,0.00912,0.301,0.0775,113.081,125468,3,mem_2
122,3xPmq4xcdWtAPm4uUO0yUo,Aliens Are Ghosts ($UICIDEBOY$ X TRAVIS BARKER),Aliens Are Ghosts ($Uicideboy$ X Travis Barker),66,0.76,0.623,11,-7.803,1,0.213,0.0552,0.0044,0.161,0.598,139.044,133617,5,mem_2
123,4hPZAo05L3zuxT0QWC2OLu,Nine Shots (Hitler Diss),Nine Shots (Hitler Diss),42,0.895,0.767,4,-6.23,1,0.273,0.0246,0.0169,0.144,0.449,152.995,147059,4,mem_2
124,0shSP8DgseLewHgAiMC4UL,WISH FEAT. KIDDO MARV,Wish Feat. Kiddo Marv,66,0.655,0.766,5,-6.746,0,0.0736,0.234,0,0.425,0.622,95.017,192013,4,mem_2
125,7hDJcQvYaaakNr2T0o4YfY,Lay It Down,Lay It Down,42,0.762,0.854,0,-5.165,0,0.0444,0.239,0.000147,0.623,0.546,120.084,116000,4,mem_2
126,5N1o6d8zGcSZSeMFkOUQOk,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (Feat. Nicki Minaj & Ty Dolla $Ign),87,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96E-06,0.214,0.57,98.985,199427,4,mem_2
127,7mMLKwFMq8STlXOBexSwqf,Who I Am,Who I Am,47,0.897,0.844,8,-5.059,1,0.0841,0.00415,0.013,0.618,0.801,119.989,208973,4,mem_2
128,2fe43BkB7a1NrD0BwQnOtG,Fema,Fema,42,0.786,0.713,2,-6.201,1,0.147,0.009,1.88E-05,0.149,0.54,160.046,168000,4,mem_2
129,2nLOfwzuAx6iYSWhngcYmN,Richard Simmons,Richard Simmons,57,0.707,0.691,10,-6.616,1,0.27,0.116,0,0.0803,0.789,169.108,142907,4,mem_2
130,0bsR8k20ADjBCdOOAntDyi,Here on My Own,Here On My Own,44,0.793,0.51,1,-8.88,1,0.039,0.131,0.861,0.0681,0.433,120.003,350261,4,mem_2
131,5qozAS2huRB1yn4XDnJtoX,50-50 (feat. Instupendo),50-50 (Feat. Instupendo),46,0.623,0.461,8,-8.223,1,0.033,0.0149,0.00349,0.346,0.376,130.02,206912,4,mem_2
132,1YR9iNGXtsbrd8deR9ULDD,Jesus Is The One (I Got Depression),Jesus Is The One (I Got Depression),72,0.857,0.446,1,-12.778,1,0.902,0.215,0,0.0964,0.327,100.122,112800,4,mem_2
133,5rxrXQ6V5CXu9doBCd67qD,Killing 2 Birds With 22 Stones ($UICIDEBOY$ X TRAVIS BARKER),Killing 2 Birds With 22 Stones ($Uicideboy$ X Travis Barker),61,0.655,0.743,1,-5.26,1,0.0388,0.00123,2.92E-06,0.47,0.0664,130.031,143259,4,mem_2
134,4zoYSZrDb3EUPWlDi2OwAC,Great Influence,Great Influence,49,0.734,0.724,11,-5.648,1,0.267,0.0133,0,0.248,0.256,85.025,203294,4,mem_2
135,5LeStoyvjAHpM52IYogOq0,Eternal,Eternal,69,0.793,0.524,5,-6.229,0,0.148,0.0622,0,0.0803,0.631,95.044,243915,4,mem_2
136,54TctO4Km2DBOQIJ0SSXI9,Does it real good,Does It Real Good,45,0.653,0.71,11,-5.891,1,0.154,0.00538,0.000902,0.471,0.271,170.016,158694,4,mem_2
137,5CAmIYoqF6UWGmMfhh4epI,P.O.P.,P.O.P.,50,0.76,0.923,8,-4.295,1,0.0642,0.08,0.00275,0.272,0.909,87.001,143448,4,mem_2
138,59iJua476fbi3PbddfPrez,The City,The City,43,0.528,0.81,7,-2.174,0,0.044,0.00198,0,0.846,0.295,124.995,233693,4,mem_2
139,1nXZnTALNXiPlvXotqHm66,A BOY IS A GUN*,A Boy Is A Gun*,73,0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,210253,4,mem_2
140,0C5HhT9O1Wn41s3pXLzDFx,NOIZE,Noize,44,0.47,0.794,2,-3.642,1,0.114,0.113,0,0.119,0.133,160.12,247760,4,mem_2
