name,popularity,danceability,energy,valence,tempo,team_member_id
Killing 2 Birds With 22 Stones ($UICIDEBOY$ X TRAVIS BARKER),61,0.655,0.743,0.0664,130.031,mem_2
Great Influence,49,0.734,0.724,0.256,85.025,mem_2
Eternal,69,0.793,0.524,0.631,95.044,mem_2
Does it real good,45,0.653,0.71,0.271,170.016,mem_2
P.O.P.,50,0.76,0.923,0.909,87.001,mem_2
The City,43,0.528,0.81,0.295,124.995,mem_2
A BOY IS A GUN*,73,0.417,0.689,0.505,79.568,mem_2
NOIZE,44,0.47,0.794,0.133,160.12,mem_2
Space Age Love Song,53,0.447,0.744,0.552,139.959,mem_2
Envy Me,50,0.834,0.681,0.225,116.987,mem_2
WHAT'S GOOD,70,0.458,0.909,0.449,118.227,mem_2
Public Pervert,37,0.318,0.813,0.287,98.831,mem_2
Habit - Blood Cultures Remix,51,0.711,0.463,0.65,90.034,mem_2
"Coronus, the Terminator",45,0.438,0.529,0.294,79.929,mem_2
Not About You,45,0.89,0.88,0.868,126.001,mem_2
More,55,0.714,0.805,0.359,96.983,mem_2
AUTOMATIC,62,0.818,0.648,0.374,140.058,mem_2
"Buff Squad (feat. Pouya, Germ & Shakewell)",44,0.767,0.514,0.0756,120.07,mem_2
Mosh Pit Killa,53,0.767,0.514,0.0756,120.07,mem_2
Land Of Honey,48,0.727,0.825,0.389,83.987,mem_2
Detroit,49,0.368,0.619,0.0878,88.033,mem_2
Burn Out Blues,42,0.829,0.588,0.963,122.968,mem_2
The New Jim Jones,42,0.45,0.935,0.643,94.471,mem_2
FF4,55,0.719,0.733,0.326,160.424,mem_2
Whip A Tesla,76,0.607,0.184,0.475,81.245,mem_2
Tuytus,41,0.814,0.527,0.54,170.063,mem_2
Are You Ready (DJ SHIMAMURA Remix),15,0.292,0.726,0.24,110.008,mem_2
Charlene,59,0.434,0.863,0.338,174.792,mem_2
nothingleftnothingleft ($UICIDEBOY$ X TRAVIS BARKER),46,0.553,0.554,0.538,174.101,mem_2
